artists,popularity,duration_ms,danceability,speechiness,acousticness,valence,tempo,track_genre
30954.0,47.0,183968.0,0.576,0.0392,0.753,0.57,127.025,cantopop
30954.0,44.0,172343.0,0.577,0.0306,0.834,0.161,119.035,cantopop
30954.0,50.0,191308.0,0.641,0.0443,0.732,0.301,121.974,cantopop
30954.0,48.0,148564.0,0.613,0.0309,0.769,0.268,132.035,cantopop
8245.0,54.0,228973.0,0.646,0.0351,0.825,0.465,129.914,cantopop
30954.0,46.0,163775.0,0.453,0.0422,0.699,0.396,178.211,cantopop
30954.0,42.0,206825.0,0.544,0.0348,0.778,0.457,144.979,cantopop
30954.0,42.0,159596.0,0.472,0.0322,0.348,0.583,171.77,cantopop
30954.0,41.0,126211.0,0.569,0.0362,0.76,0.232,113.186,cantopop
17001.0,66.0,223950.0,0.679,0.0334,0.503,0.631,107.014,cantopop
469.0,76.0,256000.0,0.751,0.0304,0.0442,0.28,119.982,chicago-house
466.0,78.0,198053.0,0.72,0.0287,0.101,0.357,119.896,chicago-house
21158.0,58.0,367786.0,0.879,0.0746,0.000161,0.615,126.903,chicago-house
17714.0,62.0,196109.0,0.791,0.07,0.00531,0.609,124.985,chicago-house
19173.0,47.0,430576.0,0.767,0.0461,0.0681,0.565,114.07,chicago-house
466.0,49.0,271986.0,0.77,0.0335,0.00737,0.486,119.995,chicago-house
9802.0,52.0,403706.0,0.7,0.0492,0.0439,0.129,116.824,chicago-house
4469.0,50.0,327138.0,0.878,0.0817,0.000271,0.235,123.993,chicago-house
460.0,31.0,441904.0,0.779,0.042,0.232,0.731,125.993,chicago-house
1171.0,27.0,232500.0,0.726,0.0418,0.00858,0.566,128.01,chicago-house
21566.0,77.0,80927.0,0.829,0.112,0.259,0.777,115.056,children
5583.0,72.0,207340.0,0.941,0.0427,0.184,0.965,125.021,children
16243.0,46.0,94451.0,0.597,0.0318,0.0551,0.786,154.98,children
5583.0,64.0,127203.0,0.779,0.0721,0.33,0.908,199.956,children
26256.0,69.0,152691.0,0.696,0.042,0.866,0.284,87.88,children
5583.0,68.0,147780.0,0.711,0.0486,0.829,0.969,199.955,children
5583.0,64.0,147147.0,0.704,0.0348,0.292,0.936,199.841,children
5583.0,64.0,169302.0,0.959,0.155,0.8,0.717,119.925,children
5583.0,62.0,62228.0,0.866,0.0345,0.403,0.79,94.976,children
5583.0,49.0,147780.0,0.711,0.0486,0.829,0.969,199.955,children
30769.0,75.0,171743.0,0.456,0.0867,0.839,0.209,108.678,chill
24962.0,74.0,157205.0,0.603,0.112,0.479,0.71,74.688,chill
31091.0,60.0,162726.0,0.543,0.0319,0.94,0.13,113.107,chill
9505.0,68.0,201951.0,0.55,0.0404,0.563,0.0346,81.991,chill
14061.0,75.0,260169.0,0.418,0.0625,0.095,0.131,139.614,chill
21551.0,74.0,170344.0,0.813,0.0349,0.777,0.667,91.921,chill
26814.0,71.0,103400.0,0.55,0.241,0.956,0.224,74.918,chill
30769.0,83.0,171743.0,0.656,0.0744,0.845,0.196,109.239,chill
30769.0,69.0,159130.0,0.735,0.167,0.627,0.551,92.031,chill
