explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,track_genre
0.0,0.745,0.714,0.0751,0.0141,0.0222,0.363,0.365,4.0,10
0.0,0.507,0.934,0.188,0.00936,0.00175,0.222,0.471,4.0,10
0.0,0.607,0.593,0.0259,0.102,0.32,0.183,0.207,4.0,10
0.0,0.546,0.717,0.034,0.00307,0.906,0.262,0.0621,4.0,10
0.0,0.661,0.954,0.128,0.0519,0.000667,0.22,0.332,4.0,10
0.0,0.331,0.341,0.0309,0.528,0.0,0.109,0.152,4.0,11
0.0,0.603,0.67,0.0249,0.00408,1.68e-06,0.112,0.446,4.0,11
0.0,0.591,0.28,0.0283,0.889,0.0,0.124,0.348,4.0,11
0.0,0.604,0.366,0.0282,0.578,0.0,0.133,0.13,4.0,11
0.0,0.556,0.319,0.0281,0.893,0.0,0.0996,0.294,4.0,11
0.0,0.346,0.552,0.0282,0.417,0.0,0.114,0.0789,4.0,11
0.0,0.376,0.595,0.0496,0.303,0.0,0.095,0.265,4.0,11
0.0,0.534,0.725,0.046,0.091,0.0,0.0264,0.55,4.0,11
1.0,0.73,0.769,0.0298,0.138,0.0,0.0473,0.507,4.0,11
0.0,0.688,0.533,0.0865,0.0355,3.48e-06,0.172,0.567,4.0,11
0.0,0.576,0.505,0.0392,0.753,0.199,0.151,0.57,4.0,12
0.0,0.577,0.228,0.0306,0.834,0.000805,0.384,0.161,4.0,12
0.0,0.641,0.479,0.0443,0.732,0.0598,0.115,0.301,4.0,12
0.0,0.613,0.21,0.0309,0.769,0.000477,0.139,0.268,4.0,12
0.0,0.646,0.37,0.0351,0.825,5.17e-06,0.09,0.465,4.0,12
0.0,0.453,0.38,0.0422,0.699,0.0136,0.145,0.396,4.0,12
0.0,0.544,0.389,0.0348,0.778,0.202,0.109,0.457,3.0,12
0.0,0.472,0.344,0.0322,0.348,0.00032,0.0958,0.583,4.0,12
0.0,0.569,0.261,0.0362,0.76,0.000749,0.136,0.232,4.0,12
0.0,0.679,0.563,0.0334,0.503,0.0,0.102,0.631,4.0,12
0.0,0.751,0.727,0.0304,0.0442,0.0338,0.1,0.28,4.0,13
0.0,0.72,0.741,0.0287,0.101,1.41e-05,0.289,0.357,4.0,13
0.0,0.879,0.95,0.0746,0.000161,0.806,0.0714,0.615,4.0,13
0.0,0.791,0.801,0.07,0.00531,0.189,0.509,0.609,4.0,13
0.0,0.767,0.686,0.0461,0.0681,0.91,0.111,0.565,4.0,13
0.0,0.77,0.767,0.0335,0.00737,0.000894,0.0716,0.486,4.0,13
0.0,0.7,0.725,0.0492,0.0439,0.851,0.125,0.129,4.0,13
0.0,0.878,0.737,0.0817,0.000271,0.445,0.11,0.235,4.0,13
0.0,0.779,0.519,0.042,0.232,0.00539,0.123,0.731,4.0,13
0.0,0.726,0.855,0.0418,0.00858,0.72,0.163,0.566,4.0,13
0.0,0.829,0.886,0.112,0.259,0.0,0.0559,0.777,4.0,14
0.0,0.941,0.387,0.0427,0.184,2.88e-05,0.157,0.965,4.0,14
0.0,0.597,0.764,0.0318,0.0551,0.000764,0.249,0.786,4.0,14
0.0,0.779,0.587,0.0721,0.33,3.85e-06,0.0792,0.908,4.0,14
0.0,0.696,0.227,0.042,0.866,1.25e-05,0.0794,0.284,4.0,14
0.0,0.711,0.396,0.0486,0.829,3e-05,0.119,0.969,4.0,14
0.0,0.704,0.479,0.0348,0.292,1.14e-06,0.0419,0.936,4.0,14
0.0,0.959,0.2,0.155,0.8,0.00398,0.0842,0.717,3.0,14
0.0,0.866,0.387,0.0345,0.403,0.0,0.145,0.79,3.0,14
0.0,0.711,0.396,0.0486,0.829,3e-05,0.119,0.969,4.0,14
0.0,0.456,0.437,0.0867,0.839,0.0,0.218,0.209,4.0,15
0.0,0.603,0.204,0.112,0.479,0.0714,0.642,0.71,5.0,15
0.0,0.543,0.206,0.0319,0.94,0.453,0.385,0.13,3.0,15
0.0,0.55,0.147,0.0404,0.563,0.00102,0.286,0.0346,4.0,15
1.0,0.418,0.31,0.0625,0.095,0.0,0.216,0.131,4.0,15
0.0,0.813,0.415,0.0349,0.777,0.0,0.131,0.667,4.0,15
0.0,0.55,0.143,0.241,0.956,0.0,0.195,0.224,4.0,15
0.0,0.656,0.436,0.0744,0.845,0.0,0.221,0.196,4.0,15
1.0,0.735,0.501,0.167,0.627,0.0013,0.104,0.551,4.0,15
0.0,0.866,0.438,0.0719,0.177,0.0,0.0743,0.695,4.0,15
0.0,0.643,0.268,0.09,0.593,2.06e-06,0.316,0.62,4.0,16
0.0,0.484,0.898,0.164,0.365,0.0,0.091,0.68,4.0,16
0.0,0.608,0.638,0.0292,0.581,0.0172,0.448,0.439,4.0,16
0.0,0.695,0.293,0.0431,0.596,0.0158,0.132,0.637,4.0,16
0.0,0.583,0.308,0.0465,0.581,0.0106,0.257,0.241,4.0,16
0.0,0.643,0.268,0.09,0.593,2.06e-06,0.316,0.62,4.0,16
0.0,0.642,0.562,0.0607,0.584,0.0,0.104,0.671,4.0,16
0.0,0.23,0.206,0.0348,0.965,0.856,0.17,0.134,3.0,16
0.0,0.496,0.186,0.0418,0.992,0.944,0.11,0.585,4.0,16
0.0,0.355,0.215,0.0465,0.987,0.957,0.331,0.65,4.0,16
1.0,0.658,0.671,0.0363,0.0933,0.000927,0.115,0.166,4.0,17
0.0,0.627,0.505,0.0549,0.197,0.0149,0.0583,0.146,4.0,17
0.0,0.807,0.835,0.0631,0.00148,0.527,0.233,0.349,4.0,17
0.0,0.748,0.549,0.065,0.00268,0.792,0.196,0.197,4.0,17
0.0,0.683,0.869,0.0515,0.00088,0.836,0.206,0.219,4.0,17
0.0,0.714,0.69,0.0875,0.0137,1.17e-05,0.13,0.631,4.0,17
0.0,0.774,0.87,0.0646,0.0318,0.907,0.107,0.0461,4.0,17
0.0,0.561,0.547,0.0825,0.0622,0.874,0.149,0.202,4.0,17
0.0,0.665,0.984,0.115,0.00758,0.776,0.326,0.0392,4.0,17
0.0,0.432,0.624,0.093,0.0509,0.0192,0.181,0.262,5.0,17
1.0,0.823,0.731,0.307,0.42,0.0,0.306,0.876,4.0,18
1.0,0.755,0.599,0.224,0.147,0.0,0.109,0.755,4.0,18
1.0,0.694,0.664,0.05,0.639,0.0,0.0929,0.676,4.0,18
1.0,0.802,0.341,0.488,0.169,0.0,0.0783,0.849,4.0,18
1.0,0.615,0.811,0.144,0.0188,0.0,0.196,0.808,4.0,18
1.0,0.829,0.514,0.037,0.203,0.000157,0.115,0.397,4.0,18
1.0,0.858,0.697,0.23,0.114,0.0,0.224,0.364,4.0,18
1.0,0.662,0.721,0.316,0.284,0.0,0.106,0.69,4.0,18
1.0,0.762,0.708,0.0573,0.0191,0.000374,0.145,0.639,4.0,18
1.0,0.684,0.621,0.362,0.432,0.0,0.607,0.537,3.0,18
0.0,0.654,0.63,0.0259,0.153,0.0,0.111,0.43,4.0,19
0.0,0.52,0.751,0.0551,0.171,7.4e-06,0.0624,0.519,4.0,19
0.0,0.59,0.389,0.0387,0.411,1.48e-06,0.117,0.389,4.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,3.0,19
0.0,0.644,0.904,0.0464,0.0295,0.0,0.0834,0.672,4.0,19
1.0,0.733,0.69,0.0427,0.0635,1.18e-06,0.105,0.31,4.0,20
0.0,0.714,0.472,0.0864,0.013,4.51e-06,0.266,0.238,4.0,20
0.0,0.722,0.757,0.132,0.185,6.32e-06,0.126,0.721,4.0,20
0.0,0.742,0.882,0.117,0.0466,0.0,0.206,0.463,4.0,20
0.0,0.748,0.524,0.0338,0.414,0.0,0.111,0.661,4.0,20
0.0,0.649,0.716,0.0349,0.0863,2.63e-05,0.135,0.163,4.0,20
0.0,0.578,0.537,0.0832,0.162,0.0,0.076,0.25,4.0,20
0.0,0.702,0.825,0.0601,0.00883,0.0,0.0674,0.915,4.0,20
1.0,0.561,0.965,0.0343,0.00383,7.07e-06,0.371,0.304,4.0,20
1.0,0.778,0.317,0.334,0.592,0.0,0.0881,0.327,4.0,20
0.0,0.742,0.882,0.117,0.0466,0.0,0.206,0.463,4.0,21
1.0,0.733,0.479,0.301,0.575,0.00053,0.0831,0.485,4.0,21
0.0,0.817,0.8,0.108,0.12,3.9e-05,0.187,0.534,4.0,21
1.0,0.684,0.79,0.0735,0.0271,0.000371,0.0854,0.549,4.0,21
0.0,0.801,0.764,0.0986,0.109,1.62e-05,0.247,0.578,4.0,21
0.0,0.795,0.565,0.0948,0.131,0.0,0.0802,0.55,4.0,21
0.0,0.873,0.658,0.108,0.00858,0.0061,0.0999,0.483,4.0,21
0.0,0.816,0.781,0.0425,0.692,0.00928,0.0835,0.937,4.0,21
0.0,0.488,0.572,0.0901,0.138,0.000235,0.27,0.415,5.0,21
0.0,0.795,0.565,0.0948,0.131,0.0,0.0802,0.55,4.0,21
0.0,0.229,0.949,0.0537,1.67e-05,0.187,0.153,0.4,4.0,22
0.0,0.428,0.972,0.0666,7.16e-05,0.0736,0.0787,0.225,4.0,22
0.0,0.475,0.385,0.0317,0.595,0.000267,0.131,0.183,4.0,22
0.0,0.613,0.953,0.153,0.00018,0.0614,0.116,0.213,4.0,22
0.0,0.158,0.572,0.0346,0.000926,0.893,0.144,0.347,3.0,22
